exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,null,null,null,null,null,null,null,"Altona Meadows",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4469,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213021342",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"St Albans - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011334",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"St Albans - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2733,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011335",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Sunshine",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011336",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Sunshine North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2035,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011337",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Sunshine West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3303,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011338",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Altona",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3041,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213021341",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Altona North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2662,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213021343",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Newport",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4542,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213021344",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Yarraville",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3909,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213031352",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Footscray",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3385,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213031348",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bacchus Marsh",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5753,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041353",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Seabrook",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213021345",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Williamstown",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3882,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213021346",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hillside",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041355",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Seddon - Kingsville",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213031350",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Melton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041356",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Braybrook",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213031347",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Melton South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041357",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Melton West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4346,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041358",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Rockbank - Mount Cottrell",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,753,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041359",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"West Footscray - Tottenham",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213031351",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Maribyrnong",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2848,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213031349",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Taylors Hill",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4436,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041360",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Burnside",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041461",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Caroline Springs",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4451,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041463",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Werribee - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2780,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051368",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Burnside Heights",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1315,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213041462",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wyndham Vale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051369",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Point Cook - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2669,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051464",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hoppers Crossing - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051361",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hoppers Crossing - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3869,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051362",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Laverton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1829,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051363",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Tarneit",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7476,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051365",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Truganina",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051366",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Point Cook - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3073,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051466",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Werribee - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3771,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051467",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Werribee - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213051468",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Carrum Downs",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4385,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011370",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Frankston",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011371",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Frankston North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011372",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Langwarrin",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5452,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011374",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Frankston South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011373",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hastings - Somers",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3895,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021379",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mornington",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4801,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021380",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mount Eliza",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3614,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021381",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mount Martha",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3789,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021382",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Point Nepean",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2698,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021383",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Seaford (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3302,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011375",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Skye - Sandhurst",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2893,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214011376",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Dromana",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2090,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021377",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Flinders",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1046,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021378",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Rosebud - McCrae",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2974,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"214021384",null,null,null,null,null,null,null,null,null,null,null,2018,null
